127.0.0.1 - - [04/Nov/2022:14:05:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:06 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:07 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:08 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1715
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:10 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:11 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:12 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:13 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:14 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:15 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:16 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:17 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:18 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:19 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:20 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:21 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
0:0:0:0:0:0:0:1 - - [04/Nov/2022:14:05:22 +0900] "GET /Shoppingmall/welcome.jsp HTTP/1.1" 200 1716
